Name,Jurisdiction Name,Y,X,Location 1,Single Member Council Districts,BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes,:@computed_region_a3it_2a2z
FS0001,AFD,30.265838,-97.739591,"401 E 5th St
AUSTIN, TX 78701
(30.265838, -97.739591)",9,10,60,217,24,2856
FS0006,AFD,30.246986,-97.750639,"1705 S Congress Ave
AUSTIN, TX 78704
(30.246986, -97.750639)",9,10,49,217,75,2859
FS0011,AFD,30.253048,-97.767742,"1691 Kinney Ave
AUSTIN, TX 78704
(30.253048, -97.767742)",5,1,2,217,75,2859
FS0044,AFD,30.432231,-97.778718,"11612 Four Iron Dr
AUSTIN, TX 78613
(30.432231, -97.778718)",6,6,,540,28,3639
FS0026,AFD,30.293241,-97.63143,"6702 Wentworth Dr
AUSTIN, TX 78724
(30.293241, -97.63143)",1,8,,309,8,3240
FS0039,AFD,30.404375,-97.837628,"7701 River Place Blvd
AUSTIN, TX 78726
(30.404375, -97.837628)",6,6,,540,60,3242
FS0027,AFD,30.227608,-97.853709,"5401 Mc Carty Ln
AUSTIN, TX 78749
(30.227608, -97.853709)",8,2,11,126,53,3638
FS0016,AFD,30.339817,-97.722634,"7000 Reese Ln
AUSTIN, TX 78757
(30.339817, -97.722634)",7,7,89,217,16,3645
FS0022,AFD,30.229268,-97.713182,"5309 E Riverside Dr
AUSTIN, TX 78741
(30.229268, -97.713182)",3,3,94,248,55,3256
FS0031,AFD,30.357735,-97.786768,"5507 Fm 2222 Rd
AUSTIN, TX 78731
(30.357735, -97.786768)",10,5,,217,66,3247
FS0002,AFD,30.282028,-97.742966,"506 W Martin Luther King Blvd
AUSTIN, TX 78701
(30.282028, -97.742966)",9,10,60,217,24,2856
FS0007,AFD,30.258012,-97.724202,"201 Chicon St
AUSTIN, TX 78702
(30.258012, -97.724202)",3,3,66,309,1,2857
FS0030,AFD,30.38401,-97.692135,"1021 W Braker Ln
AUSTIN, TX 78758
(30.38401, -97.692135)",4,9,,217,18,3646
FS0040,AFD,30.399411,-97.653281,"12711 Harrisglenn Dr
AUSTIN, TX 78753
(30.399411, -97.653281)",7,7,,540,78,3642
FS0023,AFD,30.352341,-97.678561,"1330 E Rundberg Ln
AUSTIN, TX 78753
(30.352341, -97.678561)",4,9,17,63,78,3642
FS0035,AFD,30.210129,-97.724558,"5500 Burleston Rd
AUSTIN, TX 78744
(30.210129, -97.724558)",2,4,61,484,20,3258
FS0010,AFD,30.295395,-97.766826,"3009 Windsor Rd
AUSTIN, TX 78703
(30.295395, -97.766826)",10,5,6,126,69,2858
FS0015,AFD,30.257543,-97.693214,"829 Airport Blvd
AUSTIN, TX 78702
(30.257543, -97.693214)",3,3,29,309,62,2857
FS0043,AFD,30.183114,-97.897652,"11401 Escarpment Blvd
AUSTIN, TX 78749
(30.183114, -97.897652)",8,2,,531,10,3255
FS0003,AFD,30.294741,-97.738427,"201 W 30th St
AUSTIN, TX 78705
(30.294741, -97.738427)",9,10,19,217,50,2860
FS0034,AFD,30.465858,-97.786574,"10041 Lake Creek Pkwy
AUSTIN, TX 78729
(30.465858, -97.786574)",6,6,,540,46,3245
FS0036,AFD,30.174847,-97.793419,"500 Ralph Ablanedo Dr
AUSTIN, TX 78748
(30.174847, -97.793419)",2,4,,329,22,3637
FS0019,AFD,30.334729,-97.758769,"5211 Balcones Dr
AUSTIN, TX 78731
(30.334729, -97.758769)",10,5,,126,66,3247
FS0024,AFD,30.187375,-97.742598,"5811 Nuckols Crossing
AUSTIN, TX 78744
(30.187375, -97.742598)",2,4,61,484,20,3258
FS0029,AFD,30.195953,-97.845823,"3704 Deer Ln
AUSTIN, TX 78749
(30.195953, -97.845823)",8,2,,62,53,3259
FS0014,AFD,30.299631,-97.708717,"4305 Airport Blvd
AUSTIN, TX 78723
(30.299631, -97.708717)",9,10,38,309,33,3239
FS0008,AFD,30.372163,-97.723397,"8989 Research Blvd
AUSTIN, TX 78758
(30.372163, -97.723397)",4,9,45,217,18,3646
FS0041,AFD,30.346786,-97.612838,"11205 Harris Branch Pkwy
AUSTIN, TX 78754
(30.346786, -97.612838)",1,8,,217,77,3643
FS0004,AFD,30.276405,-97.754818,"1000 Blanco St
AUSTIN, TX 78703
(30.276405, -97.754818)",9,10,72,217,69,2858
FS0037,AFD,30.250656,-97.89452,"8700 W Sh 71
AUSTIN, TX 78735
(30.250656, -97.89452)",8,2,73,295,49,3251
FS0020,AFD,30.206792,-97.805995,"6601 Manchaca Rd
AUSTIN, TX 78745
(30.206792, -97.805995)",5,1,83,373,23,3259
FS0018,AFD,30.317413,-97.690519,"6369 Berkman Dr
AUSTIN, TX 78723
(30.317413, -97.690519)",1,8,84,309,33,3239
FS0033,AFD,30.39873,-97.76723,"9409 Bluegrass Dr
AUSTIN, TX 78759
(30.39873, -97.76723)",10,5,,540,58,3647
FS0012,AFD,30.322331,-97.739816,"2109 Hancock Dr
AUSTIN, TX 78756
(30.322331, -97.739816)",7,7,74,217,7,3644
FS0045,AFD,30.482101,-97.766185,"9421 Spectrum Dr
AUSTIN, TX 78717
(30.482101, -97.766185)",6,6,,540,47,2862
FS0042,AFD,30.215175,-97.656381,"2434 Cardinal Loop
AUSTIN, TX 78617
(30.215175, -97.656381)",2,4,,248,45,8002
FS0028,AFD,30.419173,-97.701426,"2410 W Parmer Ln
AUSTIN, TX 78727
(30.419173, -97.701426)",7,7,,540,36,3243
FS0025,AFD,30.418169,-97.74259,"5228 Duval Rd
AUSTIN, TX 78727
(30.418169, -97.74259)",6,6,,540,36,3243
FS0009,AFD,30.306461,-97.729813,"4301 Speedway
AUSTIN, TX 78751
(30.306461, -97.729813)",9,10,21,217,65,3640
FS0038,AFD,30.446589,-97.801846,"10111 Anderson Mill Rd
AUSTIN, TX 78750
(30.446589, -97.801846)",6,6,,540,28,3639
FS0032,AFD,30.267265,-97.790248,"2804 Montebello Rd
AUSTIN, TX 78746
(30.267265, -97.790248)",8,2,,126,29,3260
FS0021,AFD,30.370906,-97.755809,"4201 Spicewood Springs Rd
AUSTIN, TX 78759
(30.370906, -97.755809)",10,5,,217,58,3647
FS0005,AFD,30.278099,-97.685082,"1201 Webberville Rd
AUSTIN, TX 78721
(30.278099, -97.685082)",1,8,34,309,62,2864
FS0017,AFD,30.224974,-97.771244,"4128 S 1st St
AUSTIN, TX 78745
(30.224974, -97.771244)",3,3,58,373,23,3259
